dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,vae_augmented_best_acc,vae_augmented_best_f1,vae_augmented_augmented_best_acc,vae_augmented_augmented_best_f1,vae_augmented_augmented_augmented_best_acc,vae_augmented_augmented_augmented_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,classifier_augmented_augmented_best_acc,classifier_augmented_augmented_best_f1,classifier_augmented_augmented_augmented_best_acc,classifier_augmented_augmented_augmented_best_f1
PowerCons,2,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.9444375848870231,0.9555555555555556,0.9555500679096184,0.9666666666666667,0.9666666666666667,0.9388888888888889,0.9388416988416989
ProximalPhalanxOutlineAgeGroup,3,400,205,0.8731707317073171,0.8731707317073171,0.8682926829268293,0.8683947179032419,0.8634146341463415,0.8617696853188863,0.8536585365853658,0.8544629959309034,0.8731707317073171,0.8696352119844688,0.8682926829268293,0.8688054162505107,0.8829268292682927,0.8797596542100264,0.8731707317073171,0.8738827768199393
ProximalPhalanxOutlineCorrect,2,600,291,0.8900343642611683,0.8873747156754805,0.8865979381443299,0.883624661739959,0.8934707903780069,0.8911062029787054,0.9037800687285223,0.9018316560533144,0.8969072164948454,0.8962746405429896,0.8900343642611683,0.8873747156754805,0.9072164948453608,0.9051570154975821,0.8934707903780069,0.8902305685486559
RefrigerationDevices,3,375,375,0.392,0.39057634852264783,0.4,0.39912346393182624,0.3973333333333333,0.3961699707291398,0.3893333333333333,0.3831740689960807,0.576,0.565499306518724,0.5786666666666667,0.5495841877420824,0.5733333333333334,0.5585462546398919,0.608,0.5935239697224558
ProximalPhalanxTW,6,400,205,0.8195121951219512,0.8059364056148092,0.824390243902439,0.7971742661479584,0.8048780487804879,0.7881362256011374,0.8048780487804879,0.7795996534694926,0.8341463414634146,0.7945861663908174,0.8195121951219512,0.7866658117235781,0.8097560975609757,0.7734027716000145,0.8292682926829268,0.7884352738980543
Rock,4,20,50,0.88,0.875298231180584,0.88,0.87670961049894,0.9,0.8973264698264698,0.88,0.876386404293381,0.46,0.3874959083469722,0.52,0.5582796709753232,0.44,0.3796472863807031,0.46,0.3109090909090909
ScreenType,3,375,375,0.4533333333333333,0.4556293296333218,0.448,0.4467285885196333,0.43466666666666665,0.43625923688530094,0.42933333333333334,0.42921016059014216,0.5573333333333333,0.5478149301678713,0.5466666666666666,0.543626865321995,0.5333333333333333,0.5186052802768447,0.5386666666666666,0.5380456492401572
SemgHandGenderCh2,2,300,600,0.88,0.8772211684128782,0.87,0.8697066326530613,0.855,0.8569827027315061,0.8616666666666667,0.862034155597723,0.73,0.7198892868772387,0.7266666666666667,0.6860237764769779,0.7316666666666667,0.7129230265022072,0.74,0.7264870333883593
SemgHandMovementCh2,6,450,450,0.45555555555555555,0.4535155810913074,0.49777777777777776,0.5004238638184599,0.43555555555555553,0.4355314452668342,0.43777777777777777,0.4291204440593184,0.43777777777777777,0.4397910661942043,0.46,0.4588751195341887,0.44222222222222224,0.4319319807966975,0.4444444444444444,0.43982549462307413
SemgHandSubjectCh2,5,450,450,0.8244444444444444,0.8254960234903197,0.7733333333333333,0.7753775131132208,0.7333333333333333,0.7339447163026501,0.7266666666666667,0.7281399050139663,0.47555555555555556,0.45791071673424616,0.4711111111111111,0.4541452637547073,0.48444444444444446,0.48042438157632655,0.49777777777777776,0.488242090598844
ShapeletSim,2,20,180,0.5611111111111111,0.5494153807154853,0.5277777777777778,0.5212616164460715,0.5222222222222223,0.4822742474916388,0.5722222222222222,0.571150097465887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ShapesAll,60,600,600,0.7366666666666667,0.7360150336933399,0.6983333333333334,0.6938231908432875,0.66,0.6594623439669298,0.6966666666666667,0.6982836730911799,0.7583333333333333,0.7496584882203741,0.7433333333333333,0.7372256666863717,0.7166666666666667,0.704736775038857,0.6983333333333334,0.690245581640341
SmallKitchenAppliances,3,375,375,0.5493333333333333,0.5510629604629322,0.5466666666666666,0.5458040059186793,0.552,0.5448827168662741,0.5306666666666666,0.5340883826723445,0.752,0.7502098387730892,0.7653333333333333,0.7645539000594693,0.72,0.7181070532370469,0.7306666666666667,0.7340770179978291
SmoothSubspace,3,150,150,0.94,0.9390835326673233,0.9466666666666667,0.9462489270959619,0.9266666666666666,0.9260620915032681,0.92,0.9195797130733483,1.0,1.0,0.9933333333333333,0.9933326665999933,1.0,1.0,1.0,1.0
SonyAIBORobotSurface1,2,20,601,0.8352745424292846,0.8351121816920026,0.8652246256239601,0.8658992502047507,0.8685524126455907,0.8691665697027692,0.870216306156406,0.870618284604401,0.9267886855241264,0.9269156253609758,0.9484193011647255,0.9481643362369171,0.9351081530782029,0.9352079256839056,0.9417637271214643,0.9418969882814139
SonyAIBORobotSurface2,2,27,953,0.8426023084994754,0.8434677522607652,0.8478488982161595,0.8476463203236271,0.8593913955928646,0.8593913955928646,0.8562434417628542,0.8560520405816339,0.8908709338929696,0.8918519107429105,0.8782791185729276,0.8794779226266966,0.881427072402938,0.8820553030097926,0.8604407135362014,0.8621885408414159
